The quick brown fox;
T;68;
h;157;358;
e;133;93;
 ;157;215;
q;110;1243;
u;159;162;
i;246;80;
c;150;503;
k;180;383;
 ;105;191;
b;151;1364;
r;88;261;
o;172;543;
w;114;98;
n;132;211;
 ;162;302;
f;94;832;
o;141;107;
x;83;292;
;
jumps over the lazy dog;
j;105;
u;171;276;
m;132;1053;
p;189;794;
s;121;111;
 ;239;689;
o;121;2552;
v;120;555;
e;150;82;
r;155;101;
 ;137;180;
t;85;679;
h;149;396;
e;85;142;
 ;105;213;
l;161;721;
a;94;83;
z;97;272;
y;118;407;
 ;165;176;
d;80;926;
o;153;458;
g;80;176;
;
hello;
h;142;
e;352;-6074;
l;79;6515;
l;104;150;
o;93;208;
;
