,.SF^;
,;;155
.;3031;132
S;2208;76
F;760;108
^;1153;83
;
(ild7;
(;;115
i;1087;132
l;1281;115
d;1295;108
7;792;84
;
-7BOy;
-;;132
7;1153;92
B;1119;69
O;849;84
y;1008;91
;
arI@4;
a;;91
r;240;115
I;1408;75
@;1368;83
4;920;75
;
hello;
h;;83
e;569;98
l;351;100
l;160;91
o;249;107
;
hello;
h;e;80;15
;90
l;424;67
l;151;75
o;169;83
;
jqej2;
j;;84
q;1352;92
e;1248;76
j;1313;107
2;784;67
;
Hello;
H;;92
e;537;51
l;288;67
l;144;83
o;191;76
;
Привет как дела;
П;;60
р;327и;96;52
в;66;42
е;190;11
;100
т;129;123
 ;200;155
к;655а;72;4
к;111;12
;68
 ;194;91
д;511е;169;3
;83
л;232а;63;44
;
hello how are you;
h;;147
e;159;84
l;240;84
l;176;84
o;208;108
 ;1040;132
h;504;92
o;144;124
w;456;92
 ;152;84
a;328;116
r;176;99
e;129;75
 ;231;100
y;440;68
o;264;156
u;168;156
;
hello world;
h;;109
e;1074;89
l;241;77
l;150;95
o;214;118
 ;792;180
w;257;133
o;265;139
r;499;105
l;127d;125;37
;
three is tree;
t;h;81;42
;124
r;270;145
e;227;96
e;181;115
 ;574;154
i;528;151
s;284;118
 ;139;169
t;891r;75;34
;110
e;153;89
e;164;79
;
hello world;
h;e;87;60
;124
l;361;92
l;159;91
o;232;92
 ;296;124
w;216;123
o;288;107
r;297l;87;11
d;137;2
;
hello world;
h;e;96;75
;147
l;255;84
l;169;67
o;168 ;87;11
;116
w;128;156
o;345r;167;4
;124
l;217d;104;84
;
hello world;
h;e;96l;272l;175o;185 ;128w;208o;263r;225l;121d;87;
hello world;
h;e;72l;344l;160o;176 ;96w;201o;247r;217l;119d;136;
hello;
h;e;119l;280l;161o;184;
hello;
h;e;96l;304l;137o;191;
hello world;
h;e;88l;328l;120o;209 ;160w;184o;192r;247l;128d;112;
hello world;
h;114;
e;108;78;
l;67;376;
l;75;160;
o;107;177;
 ;115;95;
w;156;936;
o;147;376;
r;100;200;
l;107;464;
d;100;72;
;
hello how are you;
h;108;
e;4373;80;
l;107;-2735;
l;65;7354;
o;99;351;
 ;179;671;
h;124;
o;139;2328;
w;132;792;
 ;99;168;
a;115;184;
r;148;256;
e;3892;-3641;
 ;108;4017;
y;84;392;
o;164;240;
u;124;112;
;
jklr;
j;140;
k;172;305;
l;212;136;
r;100;376;
;
hello;
h;2037555239;
e;2037555294;0;
l;2037555632;0;
l;2037555787;0;
o;2037555994;0;
;
hello2;
h;2037562439;
e;2037562517;0;
l;2037562859;0;
l;2037563031;0;
o;2037568670;0;
2;2037568757;0;
;
hello;
h;2037660814;
e;2037660883;0;
l;2037671489;0;
l;2037671650;0;
o;2037671861;0;
;
hello;
h;2038315943;
e;2038315988;0;
l;2038316270;0;
l;2038316415;0;
o;2038316601;0;
;
hello;
h;2038498960;
e;2038498987;0;
l;2038499395;0;
l;2038503271;0;
o;2038503458;0;
;
hello;
h;159;
e;86;144;
l;93;249;
l;89;161;
o;85;180;
;
hello;
h;-2039277455;
e;101;95;
l;102;243;
l;86;168;
o;88;177;
;
hello;
h;-2039367994;
e;75;92;
l;92;299;
l;83;155;
o;85;206;
;
hello;
h;-2039834883;
e;84;85;
l;93;508;
l;76;164;
o;75;181;
;
hello;
h;-2039940907;
e;99;109;
l;82;291;
l;58;159;
o;74;151;
;
hello;
h;84;
e;0;-1651307389808;
l;0;0;
l;0;0;
o;0;0;
;
hello;
h;-2040649032;
e;95;99;
l;93;245;
l;76;143;
o;80;167;
;
hello;
h;103;
e;110;677;
l;87;167;
l;90;169;
o;90;197;
;
hello;
h;-2040755055;
e;76;91;
l;92;246;
l;74;163;
o;80;179;
;
hello;
h;6088;
e;79;7255;
l;74;108;
l;89;147;
o;85;201;
;
The quick brown fox;
T;64;
h;-2040783154;376;
e;109;93;
 ;190;290;
q;143;1496;
u;-2040785495;462;
i;233;96;
c;84;443;
k;165;306;
 ;145;520;
b;128;976;
r;90;387;
o;194;220;
w;109;319;
n;125;260;
 ;159;559;
f;125;418;
o;173;262;
x;66;406;
;
jumps over the lazy dog;
j;1955;
u;83;2450;
m;115;542;
p;-2040799255;261;
s;122;95;
 ;156;670;
o;150;468;
v;96;351;
e;-2040801021;182;
r;144;142;
 ;194;488;
t;94;517;
h;145;127;
e;74;296;
 ;135;176;
l;-2040803871;1104;
a;98;129;
z;140;237;
y;103;484;
 ;143;349;
d;128;928;
o;133;297;
g;74;206;
;
hello;
h;143;
e;120;90;
l;90;313;
l;89;160;
o;72;199;
;
hello;
h;150;
e;89;10345;
l;75;183;
l;74;148;
o;84;178;
;
