hello world;
h;;99
e;1063;84
l;240;59
l;113;99
o;279;132
 ;504;116
w;641o;144;2
;140
r;376;59
l;328d;112;18
;
hello world;
h;;108
e;152;148
l;272;68
l;159;68
o;193;77
 ;272;116
w;232;140
o;272;92
r;264;84
l;144;75
d;88;68
;
hello world;
h;e;104;27
;187
l;344;67
l;160;60
o;184;83
 ;152;132
w;232;156
o;368;99
r;248;83
l;153d;87;19
;
hello how are you;
h;e;89;35
;115
l;336;60
l;160;92
o;216;76
 ;136;139
h;1408;123
o;136;100
w;232;148
 ;192;83
a;160;140
r;208e;96;52
;179
 ;191;124
y;384;101
o;145u;135;45
;
